,isin,company_name,industry_rating,market_cap
768,JP3788600009,Hitachi Ltd,Industrial Conglomerates,Unknown
769,TW0002049004,Hiwin Technologies Corp,Industrial Machinery & Supplies & Components,Unknown
770,US4364401012,Hologic Inc,Health Care Equipment,Unknown
771,US4370761029,Home Depot Inc,Home Improvement Retail,Unknown
772,INE481N01025,Home First Finance Company India Limited,Finance,Small Cap
773,TW0002317005,Hon Hai Precision Industry Co Ltd,Electronic Manufacturing Services,Unknown
774,INE0J5401028,Honasa Consumer Limited,Personal Products,Small Cap
775,INE634A01018,Honda India Power Products Limited,Industrial Manufacturing,Small Cap
776,INE671A01010,Honeywell Automation India Limited,Industrial Manufacturing,Mid Cap
777,US4385161066,Honeywell Internation India Pvt Ltd,Industrial Conglomerates,Unknown
778,HK0388045442,Hong Kong Exchanges and Clearing Ltd,Financial Exchanges & Data,Unknown
779,KYG4602S1057,Horizon Robotics Inc,software and services,Unknown
780,US4404521001,Hormel Foods Corp,Packaged Foods & Meats,Unknown
781,US44107P1049,Host Hotels & Resorts Inc,Hotel & Resort REITs,Unknown
782,INE031A01017,Housing & Urban Development Corporation Limited,Finance,Mid Cap
783,US4432011082,Howmet Aerospace Inc,Aerospace & Defense,Unknown
784,HK0000218211,Hua Hong Semiconductor Ltd.,Semiconductors,Unknown
785,US4435106079,Hubbell Inc,Electrical Components & Equipment,Unknown
786,INE275B01026,Huhtamaki India Limited,Industrial Products,Small Cap
787,US4448591028,Humana Inc,Managed Health Care,Unknown
788,US4461501045,Huntington Bancshares Inc,Regional Banks,Unknown
789,US4464131063,Huntington Ingalls Industries Inc,Aerospace & Defense,Unknown
790,INE0V6F01027,Hyundai Motor India Ltd,Automobiles,Large Cap
791,INE090A01021,ICICI Bank Limited,Banks,Large Cap
792,INE765G01017,ICICI Lombard General Insurance Company Limited,Insurance,Mid Cap
793,INE726G01019,ICICI Prudential Life Insurance Company Limited,Insurance,Mid Cap
794,INE725G01011,ICRA Ltd.,Capital Markets,Small Cap
795,INE008A01015,IDBI Bank Limited,Banks,Mid Cap
796,US45167R1041,IDEX Corp,Capital Goods,Unknown
797,US45168D1046,IDEXX Laboratories Inc,Health Care Equipment,Unknown
798,INE092T01019,IDFC First Bank Limited,Banks,Mid Cap
799,INE559A01017,IFB Industries Ltd.,Consumer Durables,Small Cap
800,INE039A01010,IFCI Limited,Finance,Small Cap
801,INE204A01010,IG Petrochemicals Limited,Chemicals & Petrochemicals,Small Cap
802,INE489L01022,"IIFL Capital Services
 Ltd.",Capital Markets,Small Cap
803,INE530B01024,IIFL Finance Limited,Finance,Small Cap
804,INE0LOJ01019,IKIO Technologies Limited,Consumer Durables,Small Cap
805,US4601461035,INTERNATIONALPAPER CO,Paper & Plastic Packaging Products & Materials,Unknown
806,US46120E6023,INTUITIVE SURGICAL INC COM,Health Care Equipment,Unknown
807,INE485C01029,IOL Chemicals and Pharmaceuticals Limited,Pharmaceuticals & Biotechnology,Small Cap
808,INE570A01022,ION EXCHANGE (INDIA) LIMITED,Other Utilities,Small Cap
809,INE571A01038,IPCA Laboratories Limited,Pharmaceuticals & Biotechnology,Mid Cap
810,INE821I01022,IRB Infrastructure Developers Limited,Construction,Small Cap
811,INE962Y01021,IRCON International Limited,Construction,Small Cap
812,INE858B01029,ISGEC Heavy Engineering Ltd.,Construction,Small Cap
813,INE379A01028,ITC Hotels Limited,Leisure Services,Mid Cap
814,INE154A01025,ITC Limited,Diversified FMCG,Large Cap
815,INE686A01026,ITD Cementation India Ltd.,Construction,Small Cap
816,INE248A01017,ITI Limited,Telecom - Equipment & Accessories,Small Cap
817,INE349Y01013,Ideaforge Technology Limited,Aerospace & Defense,Small Cap
818,INE133Y01011,Ifgl Refractories Limited (Erst Ifgl Exports Limited),Industrial Products,Small Cap
819,INE188B01013,Igarashi Motors India Limited,Auto Components,Small Cap
820,US4523081093,Illinois Tool Works Inc,Industrial Machinery & Supplies & Components,Unknown
821,INE172N01012,Imagicaaworld Entertainment Ltd.,Leisure Services,Small Cap
822,US45337C1027,Incyte Corp,Biotechnology,Unknown
823,INE065X01017,Indegene Limited,Healthcare Services,Small Cap
824,INE560A01015,India Glycols Ltd.,Beverages,Small Cap
825,INE0D6701023,India Pesticides Limited,Fertilizers & Agrochemicals,Small Cap
826,INE922K01024,India Shelter Finance Corporation Limited,Finance,Small Cap
827,INE353K01014,India Tourism Development Corporation Limited,Leisure Services,Small Cap
828,INE933S01016,Indiamart Intermesh Limited,Retailing,Small Cap
829,INE562A01011,Indian Bank,Banks,Mid Cap
830,INE022Q01020,Indian Energy Exchange Limited,Capital Markets,Small Cap
831,INE919H01018,Indian Metals & Ferro Alloys Ltd.,Ferrous Metals,Small Cap
832,INE242A01010,Indian Oil Corporation Limited,Petroleum Products,Large Cap
833,INE565A01014,Indian Overseas Bank,Banks,Mid Cap
834,INE335Y01020,Indian Railway Catering And Tourism Corporation Limited,Leisure Services,Mid Cap
835,INE053F01010,Indian Railway Finance Corporation Limited,Finance,Large Cap
836,INE202E01016,Indian Renewable Energy Development Agency Limited,Finance,Mid Cap
837,INE09VQ01012,Indigo Paints Limited,Consumer Durables,Small Cap
838,INE06ST01018,Indiqube Spaces Limited,Commercial Services & Supplies,Unknown
839,INE483B01026,Indo Count Industries Ltd.,Textiles & Apparels,Small Cap
840,INE896L01010,IndoStar Capital Finance Limited,Finance,Small Cap
841,INE873D01024,Indoco Remedies Ltd.,Pharmaceuticals & Biotechnology,Small Cap
842,INE203G01027,Indraprastha Gas Limited,Gas,Small Cap
843,INE681B01017,Indraprastha Medical Corporation Limited,Healthcare Services,Small Cap
844,INE0NHL23019,Indus Infra Trust,Transport Infrastructure,Unknown
845,INE121J01017,Indus Towers Limited,Telecom - Services,Large Cap
846,INE095A01012,IndusInd Bank Limited,Banks,Mid Cap
847,CNE1000003G1,Industrial and Commercial Bank of China Ltd,Diversified Banks,Unknown
848,INE483S01020,Infibeam Avenues Ltd.,Financial Technology (Fintech),Small Cap
849,INE663F01032,Info Edge (India) Limited,Retailing,Large Cap
850,INE009A01021,Infosys Limited,IT - Software,Large Cap
851,US45687V1061,Ingersoll Rand Inc,Industrial Machinery & Supplies & Components,Unknown
852,INE177A01018,Ingersoll-Rand (India) Ltd.,Industrial Products,Small Cap
853,INE0DUT01020,Innova Captab Ltd.,Pharmaceuticals & Biotechnology,Small Cap
854,INE549I01011,Innoventive Industries Limited**,Industrial Products,Unknown
855,INE510W01014,Inox Green Energy Services Ltd.,Power,Small Cap
856,INE616N01034,Inox India Limited,Industrial Products,Small Cap
857,INE066P01011,Inox Wind Limited,Electrical Equipment,Small Cap
858,INE066P20011,Inox Wind Limited,Electrical Equipment,Unknown
859,INE070I01018,Insecticides (India) Ltd.,Fertilizers & Agrochemicals,Small Cap
860,US45784P1012,Insulet Corp,Health Care Equipment,Unknown
861,US4581401001,Intel Corp,Semiconductors,Unknown
862,INE306R01017,Intellect Design Arena Limited,IT - Software,Small Cap
863,INE646L01027,InterGlobe Aviation Limited,Transport Services,Large Cap
864,INE00M901018,Interarch Building Solutions Ltd.,Construction,Small Cap
865,US45866F1049,Intercontinental Exchange Inc,Financial Exchanges & Data,Unknown
866,US4592001014,International Business Machines Corp,software and services,Unknown
867,US4595061015,International Flavors & Fragrances Inc,Specialty Chemicals,Unknown
868,INE0Q9301021,International Gemmological Institute India Ltd,Commercial Services & Supplies,Small Cap
869,US4606901001,Interpublic Group of Companies Inc,Advertising,Unknown
870,US4612021034,Intuit Inc,Application Software,Unknown
